version_uri,title_lat,title_ar,author_lat,author_lat_shuhra,date,GenreCode,GenreLabel,abs_path,dl_tokens,BoC_raw,BoC_density_k,BoC_penalty,BoC_strong_hits,BoC_anchor,BoC_spirit,BoC_human,BoC_desire,BoC_beauty,BoC_metaphor,BoC_ethic,BoC_family,BoC_modern,BoC_pctl_0_1,BoC_final_0_2,BoC_minmax_0_1,BoC_minmax_0_2
0001AbuTalibCabdManaf.Diwan.JK007501-ara1,Diwan,ديوان أبو طالب,Abu Talib Cabd Manaf,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001AbuTalibCabdManaf.Diwan.JK007501-ara1.txt,6205,27.729125552973464,4.4688357055557555,0.00014504431909750202,1.0,3.038444780736152,0.8626723706589065,3.886287702852691,1.445379050146949,1.4733942331091707,1.2386803357737923,0.31246790165695437,1.097916063108455,0.5113316062341282,0.8313194780086999,1.6626389560173997,0.5003022630229872,1.0006045260459744
0001AwsIbnHajar.Diwan.JK007502-ara1,Diwan,ديوان أوس بن حجر,Aws Ibn Hajar,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001AwsIbnHajar.Diwan.JK007502-ara1.txt,5713,12.49631301208394,2.1873469301739785,7.001575354454753e-05,0.0,2.4264664147083916,0.753790228503935,3.5052353620226584,1.428476808584883,1.4022834152799102,0.9463611108520336,0.5110392811716143,1.122500953920791,0.40103443707557945,0.5601739971000483,1.1203479942000967,0.2244023308470809,0.4488046616941618
0001CalqamaFahl.Diwan.JK007522-ara1,Diwan,ديوان علقمة الفحل,Calqama Fahl,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001CalqamaFahl.Diwan.JK007522-ara1.txt,2383,11.777156241911705,4.942155367986447,8.392782207301721e-05,0.0,3.106871916036238,0.3762588837491619,4.036387251182292,1.3987916912046043,1.2490051673899198,0.6744150210173548,0.312039282149031,0.6243755432205297,0.0,0.8550024166263895,1.710004833252779,0.5575407049435697,1.1150814098871393
0001CamrIbnMalik.Diwan.JK007525-ara1,Diwan,ديوان عمرو بن مالك,Camr Ibn Malik,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001CamrIbnMalik.Diwan.JK007525-ara1.txt,1689,8.047867369437286,4.76487114827548,0.00011841326228537596,0.0,1.8343145325979664,0.45959326862548777,2.5939927270865843,0.0,1.019391130309891,0.9205868762684257,0.0,1.2209419216367374,0.0,0.8463025616239729,1.6926051232479458,0.5361017635286905,1.072203527057381
0001CamrIbnQumaya.Diwan.JK007523-ara1,Diwan,ديوان عمرو بن قميئة,Camr Ibn Qumaya,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001CamrIbnQumaya.Diwan.JK007523-ara1.txt,2503,10.417957784796826,4.16218848773345,3.995205753096285e-05,0.0,1.137756798414861,1.1491990760745772,3.1880726068916143,1.8039799871609292,0.8517365665949784,1.4998472122386048,0.0,0.7877817728994992,0.0,0.8100531657805703,1.6201063315611406,0.4632194829050148,0.9264389658100296
0001CantaraIbnShaddad.Diwan.JK007526-ara1,Diwan,ديوان عنترة بن شداد,Cantara Ibn Shaddad,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001CantaraIbnShaddad.Diwan.JK007526-ara1.txt,17744,129.3095359830704,7.287507663608566,3.381424706943192e-05,7.0,3.039671733381384,0.9469970673971414,4.294282625921145,3.0014058367248033,1.798111851260555,1.4344162360769708,0.8015207615127371,0.7639712013554497,0.08386126581062817,0.9260512324794586,1.8521024649589173,0.8411636384740965,1.682327276948193
0001CurwaIbnWard.Diwan.JK007521-ara1,Diwan,ديوان عروة بن الورد,Curwa Ibn Ward,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001CurwaIbnWard.Diwan.JK007521-ara1.txt,2630,12.974716802987228,4.93335239657309,0.0001140684410646388,0.0,1.7950496438968946,1.2523313541810341,3.4485533078864656,3.4395932257643267,1.2333108597443434,0.6214066704422753,0.0,1.1859519156320644,0.0,0.8540357660705655,1.708071532141131,0.556476163560724,1.112952327121448
0001HarithIbnHilliza.Diwan.JK007505-ara1,Diwan,ديوان الحارث بن حلزة,Harith Ibn Hilliza,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001HarithIbnHilliza.Diwan.JK007505-ara1.txt,1816,11.398801466754266,6.2768730543801015,5.5066079295154194e-05,0.0,1.925114882813213,0.8861986990282827,3.1938462655758633,1.4415622526255731,1.4208157582352225,0.7062009238243981,0.39966154987940905,1.4260288566439243,0.0,0.903334944417593,1.806669888835186,0.7189478190716548,1.4378956381433097
0001HatimTai.Diwan.JK007514-ara1,Diwan,ديوان حاتم الطائي,Hatim Tai,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001HatimTai.Diwan.JK007514-ara1.txt,4127,25.979387130475285,6.294981131687735,9.692270414344561e-05,1.0,2.2945387489457523,1.0740220151953033,3.313327401511968,1.838849184459699,1.3990953778385828,0.9378237909282465,0.699402754140835,0.9186981622287875,0.5151952482519515,0.9043015949734171,1.8086031899468342,0.7211376248488831,1.4422752496977662
0001ImruQaysIbnHujr.Diwan.JK007512-ara1,Diwan,ديوان امرؤ القيس,Imru Qays Ibn Hujr,,1,p,POE - Poetic (šiʿr),/content/drive/MyDrive/Shamela_love/love_corpus/0001ImruQaysIbnHujr.Diwan.JK007512-ara1.txt,5997,46.78182116943152,7.800870630220363,0.00010005002501250625,2.0,2.9938722826252024,0.8263605688240957,4.639542238178865,2.3362162150046437,1.6958154941191117,1.2587356101459046,0.39040005195193667,0.675185037020723,0.779373222177144,0.9391010149830836,1.8782020299661673,0.9032445082982822,1.8064890165965644
